fold,phase,population,row_type,scheme,master_seed,member,status,coverage_open_minutes,distinct_ids,effective_sample_size_claim,max_concurrency,mean_active_concurrency,raw_mean_uniqueness,raw_uniqueness_max,raw_uniqueness_min,repetitions,fit_status,fit_reason,fit_contract_sha256,sampling_contract_sha256,derived_seed,draw_count,training_candidates,draws_sha256,probabilities_sha256,probability_bytes,sampling_seconds,tree_queries,max_query_levels,max_multiplicity
2023Q2,inner,temporal,member_sampling,uniform,0,1,available,74952.0,512,False,4,1.2663304514889528,0.8349127238867431,1.0,0.25,0,succeeded,,e9e95d71611d7b35a4b7799025f15a180eb5c87be92674ab382a2225b7d1f7d4,4d8608ca43b763df5ffc0f48180f046fe313a0b5e127b76472c37d36585d0d18,155871206599919401843402507629154991981,512,303616,e5e0238b9791bbc3d4779dff5159852dcae4e9611d8961f347c3d94cfe496422,,0,0.7726131660165265,0,0,1
2023Q2,inner,temporal,member_sampling,uniform,0,2,available,73765.0,511,False,4,1.1320138276960618,0.8792668320959629,1.0,0.3260233918128655,1,succeeded,,17b38da250e741cbb66795305d1ff9235b91b09056cc45b3ad47d7e7342d0b18,9cd49f2c044d17d761ec4cd5f8717dd8ee477cdae370be1b60aabe88435d1b21,313064949957124242663464020055636444451,512,303616,42e898a9d66aecf8d58ad01dbe3d0e5c75030c2c44c3cd087313cd5fd7e896e4,,0,0.7618815829919185,0,0,2
2023Q2,inner,temporal,member_sampling,uniform,1,0,available,76204.0,512,False,4,1.1545719384809197,0.8469173134447523,1.0,0.3270833333333333,0,succeeded,,322e673576ed849f35188cf72fea312b0d7945dee2ce2bc26683943c1c163f35,6fa066ebb7676a01319bca8323233d4d019578d6471a06eb8e781b75835306fe,239891652895338940676644091762558322739,512,303616,a31a47e285e02d8312a8e9020b00ac52d34c4d20f669dff3e736cf50f2e16ab0,,0,0.8442015000036918,0,0,1
2023Q2,inner,temporal,member_sampling,uniform,1,1,available,75996.0,512,False,5,1.2479604189694193,0.8411222647379939,1.0,0.2,0,succeeded,,34256cd8bbdefa1000a788240710d6f66920d95aea5b45c89dad680f447d897f,5ece3f755c3be21f60c172da1bdfe483f572a43a9645e17f9270d375b3be44c1,91111525464852356240956541171470437182,512,303616,3559c9476bf9548ec2305d2276df1f7f0f0638e68dcb9c221306ca351a140714,,0,0.8034890000126325,0,0,1
2023Q2,inner,temporal,member_sampling,uniform,1,2,available,74673.0,512,False,4,1.1550493484927618,0.8729384541641978,1.0,0.2569444444444444,0,succeeded,,5c743e4ca16edf5ef7b3f4d970a3718edbc12387fd72cbd966a5381a2e46a38d,8308b1ac397142b61a36213fef9f95062dc01c3c31a873305aec7a65c2a3955c,23332039795132473485275691493028640164,512,303616,9f1b4e056540cf4fbb2dbb0ae5e677983a1a057bc45ea3fd5c7d44722323ce28,,0,0.8122257080103736,0,0,1
2023Q2,refit,0.0005,full_population,all_events_once,,,available,364767.0,33012,False,116,19.00774466988516,0.08578054429763046,1.0,0.008855342621607124,0,,,,,,,,,,,,,,
2023Q2,refit,0.0005,member_sampling,sequential,0,0,available,82932.0,509,False,3,1.1564293638161385,0.8902170475169893,1.0,0.33333333333333326,3,succeeded,,fbc8c81396816d42e964f9802153261a2b6e34e890d1116df7e7b17f1367c54b,a7f37c52e92469a9b5d08971866b435a502504edd0731e0783217990b6b476dc,27492540518709416569458338602676896988,512,33012,6bb3c9a795494699a4a9493be89af85bf0b3e186e5c2bbcdebca0053fe8232a2,6bd35b1ec78eb4871416b39cca7252e84c51d5e2fc6978d49fde720da6970d8f,135217152,5.774875165981939,16902144,10,2
2023Q2,refit,0.0005,member_sampling,sequential,0,1,available,108442.0,511,False,4,1.2254938123605246,0.8772967427815164,1.0,0.25,1,succeeded,,45c164299b7453c88f15e0da048411c222ea7aa33f4f4e61f32466ba34f21bae,a02ac2a288105bde6eeafe8e1450a60fb6a344b0178d4a3cfd8980f8e7932b0d,90958470858957731198846729056018764383,512,33012,16d942afe66de3e4d40bce907adf213e5da6459fd1485b114fad454dfb9c2d6a,84b9d6bfae51a63ee97cc1e0ad586f6493a4932be574f15b1d4fa699ac1d7716,135217152,5.877150957996491,16902144,10,2
2023Q2,refit,0.0005,member_sampling,sequential,0,2,available,83189.0,508,False,4,1.2070946879996154,0.8948915997135152,1.0,0.25,4,succeeded,,544298f6f4e9afb03afbd1c97e9a3ccc206077311c43443ea7d732f4f2ca149b,4addc22d53afd8642bf74e9bc876a99a9c8e8a888ca0e1bfdd8c8fe202a2874c,257718724691900437975565308545030603120,512,33012,0fe7f8b9165fea127bffd8021c99972f3aaa75230a7893293e20d1b6e52e839a,f1ff3d08610a705f4cf9e3cc3a80beab22234ae9c8a490667788a60401ffecfe,135217152,5.829794290999416,16902144,10,2
2023Q2,refit,0.0005,member_sampling,sequential,1,0,available,96342.0,510,False,4,1.1648190820203026,0.8974391407882383,1.0,0.25,2,succeeded,,d3766baa389d56bd2b9488cbbb278c5bce44e13077c1a2238e2cbbf6a0772ab9,3e4e9fae6c0852806e45fc58001626403d6b6e4812c9f0c1fff4a155d7ba10c4,21814748789586370219164982041403500779,512,33012,bb4bf8d31f11f50e021f40119398de4b7e3a8d5ac3eac3f8a4109c0a11ae9977,2fcee12f643bb439059f322d3e5c0f61759fbe32326fffabc361212fe5c87d90,135217152,5.751560083008371,16902144,10,2
2023Q2,refit,0.0005,member_sampling,sequential,1,1,available,84220.0,512,False,3,1.118344811208739,0.9050884031869187,1.0,0.3333333333333333,0,succeeded,,a9ce7859ee78d16703fb905c1590430dfd36e1eac65bbf23983b14078e162862,4d072af9a64a45497225dd4d3013c90724a48bc747ed80cd094bd87982dc5a7b,326003401324314401701226370488522477500,512,33012,654714964f8254c5a5c05784ff512cdd00ae20d172922acb314a9d0b8e52fa31,864cf4727a2dd41d9512dd41050a084c172dc38739d005661297ff9752d5d5b5,135217152,5.76351429198985,16902144,10,1
2023Q2,refit,0.0005,member_sampling,sequential,1,2,available,96608.0,510,False,4,1.1157461079827757,0.9047955062013626,1.0,0.3263888888888889,2,succeeded,,e94ccfa7899fbd96622934077e71b74abe7162ad7521a790003ddfd5363ea753,4b61c353a24044638eb9bc3447727007345cc86fdc2003cf0c379bdf216c8a36,63337531768675299582623570931168150179,512,33012,ffcf04f0b68b928a546f1e498b49a4699dbe081aa73ccb7e8fd8cb8d3b155d61,9d0aa8e68d14a7820335de661063244c9a6c583b6831e0a5913860bc761e7b56,135217152,5.805544875009218,16902144,10,2
2023Q2,refit,0.0005,member_sampling,uniform,0,0,available,87604.0,508,False,5,1.2592004931281677,0.830327485230705,1.0,0.23244680851063831,4,succeeded,,6f9fd622214be648b3babc1ac328a75e44a81f1d240c785d1213267c2bd8da59,423a2180473799b803048363313f7cc7d08b06751cb977c6827b77c6f5db2e8c,27492540518709416569458338602676896988,512,33012,e2a6b11abbeb7ed00c9127fb90020323399668a164bd180d519b4b47a6a52075,,0,0.09058491699397564,0,0,2
2023Q2,refit,0.0005,member_sampling,uniform,0,1,available,90131.0,510,False,4,1.2313632379536452,0.8550354126713597,1.0,0.25,2,succeeded,,f312232136dd285eab2ad0fcafd859accb6721f89beed3064403aec506a824f1,ba19a00c4829f841e8b3094a7643ab1d1f53e3f6d43b9ca3eb76cd44e95c9366,90958470858957731198846729056018764383,512,33012,ba38f8de609f867ad2e2f245308836304e1179368adb990e1cc53bc275f14b13,,0,0.09027874999446794,0,0,2
2023Q2,refit,0.0005,member_sampling,uniform,0,2,available,87225.0,509,False,3,1.1718200057323016,0.8510876335982623,1.0,0.33333333333333326,3,succeeded,,291690c9b35783ba4a0ec258cca04a4e20ad64be579a21a1e25d03050b2b1225,c4a1b43eddcb58e86eb288c535ef38eeca4febbb1f552074ccc6c8a489daab6a,257718724691900437975565308545030603120,512,33012,5963f3b7fee139f99f37edcfe7a370c25f2d6ca77ea58e3f36e135770016b836,,0,0.09091212501516566,0,0,3
2023Q2,refit,0.0005,member_sampling,uniform,1,0,available,83051.0,509,False,4,1.229316925744422,0.8644140455000902,1.0,0.25,3,succeeded,,af390373e488491c0d36ebe22059e8807151859d6b29147ab75588cff47c7b52,6a179a0ea3185a0406e510ac7cf749ad55da89c56160d70a3ae93817e356578a,21814748789586370219164982041403500779,512,33012,fd702e23446a2b2d42c75e54eedc38bce9f8f042a680e9b5f907177243156421,,0,0.09124395801336505,0,0,2
2023Q2,refit,0.0005,member_sampling,uniform,1,1,available,77237.0,509,False,4,1.195890570581457,0.8644420295051548,1.0,0.25,3,succeeded,,fea99465016398f4bb2ecc08158e4b0be148aed59230b7a4da9aa2cadc7cfa88,62c5822b2bc0ed3fcc91698c72297205b5874d49697f889e00f9ebb842c36f3f,326003401324314401701226370488522477500,512,33012,30663f5426f803427768e721b91ceff008f4b4b98ff902f251751c4e3cb3e46f,,0,0.08922516700113192,0,0,2
2023Q2,refit,0.0005,member_sampling,uniform,1,2,available,93003.0,510,False,3,1.153758480909218,0.8702983822845278,1.0,0.33333333333333326,2,succeeded,,7f93ffd4a0c574acccf08855a1e13a7fe6ee32c2151b2a3584bd0a00b9b8408e,f6ac7c24f1be0f54f7e3d9065041a99c54e851e5e467d75408cb9b0502f37883,63337531768675299582623570931168150179,512,33012,0f0df22ab37fb656c837c4e400a47b6b7b2d751fe54d2e0da85c3bf92fa32d27,,0,0.09057883400237188,0,0,2
2023Q2,refit,0.001,full_population,all_events_once,,,available,354661.0,11716,False,50,7.129340412393807,0.22416056025071948,1.0,0.021908901225631137,0,,,,,,,,,,,,,,
