task,fold,phase,population,partition,group,candidates,causally_eligible,retained,positive,negative,prevalence,censored,ambiguous,boundary,causally_ineligible,sigma_mean,tp_pips_mean,sl_pips_mean,tp_duration_open_mean,sl_duration_open_mean,timeout_duration_open_mean,regime_low_cut,regime_high_cut
dynamic,2023Q2,inner,0.001,training,low,7106,7106,7058,2004,5054,0.283933125531312,47,1,0,0,0.0006520132230214248,17.198143368309715,6.879257347323885,100.67165668662675,59.96774831816383,,0.0009230957304622377,0.0015699329247801188
dynamic,2023Q2,inner,0.001,training,middle,7106,7106,6937,1926,5011,0.27764163182932106,166,3,0,0,0.0012138872870858016,31.542174229853103,12.616869691941242,205.18380062305295,112.93614049091998,,0.0009230957304622377,0.0015699329247801188
dynamic,2023Q2,inner,0.001,training,high,7104,7104,6593,1721,4872,0.26103443045654484,511,0,0,0,0.0024962978931094048,64.23326675496024,25.693306701984092,533.335270191749,316.3050954078423,4320.0,0.0009230957304622377,0.0015699329247801188
dynamic,2023Q2,inner,0.001,evaluation,all,3852,2588,2555,727,1828,0.2845401174168297,30,3,0,1264,0.001216640127632259,32.697329318683536,13.078931727473414,341.990371389271,185.7330043859649,4320.0,0.0009230957304622377,0.0015699329247801188
dynamic,2023Q2,inner,0.001,evaluation,ineligible,1264,0,0,0,0,,0,0,0,1264,,,,,,,0.0009230957304622377,0.0015699329247801188
dynamic,2023Q2,inner,0.001,evaluation,low,1220,1220,1210,341,869,0.2818181818181818,7,3,0,0,0.0006235518416881094,16.78942332284568,6.715769329138271,99.90615835777126,55.25546605293441,,0.0009230957304622377,0.0015699329247801188
dynamic,2023Q2,inner,0.001,evaluation,middle,734,734,729,214,515,0.2935528120713306,5,0,0,0,0.0012011241486733,32.327057911479216,12.930823164591688,308.0,147.00388349514563,,0.0009230957304622377,0.0015699329247801188
dynamic,2023Q2,inner,0.001,evaluation,high,634,634,616,172,444,0.2792207792207792,18,0,0,0,0.002375877410609765,63.73743109756389,25.49497243902556,864.2267441860465,488.7568181818182,4320.0,0.0009230957304622377,0.0015699329247801188
dynamic,2023Q2,refit,temporal,training,all,892586,734096,715110,197493,517617,0.2761714980912027,18796,190,0,158490,0.000986683547684069,25.92648299158357,10.370593196633429,235.0031393517745,140.80321527721313,4320.0,0.0005987847677231071,0.0010496957282979185
dynamic,2023Q2,refit,temporal,training,ineligible,158490,0,0,0,0,,0,0,0,158490,,,,,,,0.0005987847677231071,0.0010496957282979185
dynamic,2023Q2,refit,temporal,training,low,244700,244700,243654,67988,175666,0.279035025076543,1004,42,0,0,0.00041786521090911224,11.197051169759128,4.478820467903652,101.06651173736542,58.73393257659422,,0.0005987847677231071,0.0010496957282979185
dynamic,2023Q2,refit,temporal,training,middle,244698,244698,240143,66746,173397,0.2779427257925486,4446,109,0,0,0.0008015002953725773,21.211058498090654,8.484423399236263,188.30491714859318,108.40812124777246,,0.0005987847677231071,0.0010496957282979185
dynamic,2023Q2,refit,temporal,training,high,244698,244698,231313,62759,168554,0.27131635489574735,13346,39,0,0,0.001740689785916295,45.37145969555815,18.14858387822326,429.76409757963,260.42986546924544,4320.0,0.0005987847677231071,0.0010496957282979185
dynamic,2023Q2,refit,temporal,evaluation,all,123894,32,3,0,3,0.0,29,0,0,123862,0.00020666601094911473,5.641529064968246,2.256611625987299,,7.333333333333333,,0.0005987847677231071,0.0010496957282979185
dynamic,2023Q2,refit,temporal,evaluation,ineligible,123862,0,0,0,0,,0,0,0,123862,,,,,,,0.0005987847677231071,0.0010496957282979185
dynamic,2023Q2,refit,temporal,evaluation,low,32,32,3,0,3,0.0,29,0,0,0,0.00020666601094911473,5.641529064968246,2.256611625987299,,7.333333333333333,,0.0005987847677231071,0.0010496957282979185
dynamic,2023Q2,refit,temporal,evaluation,middle,0,0,0,0,0,,0,0,0,0,,,,,,,0.0005987847677231071,0.0010496957282979185
dynamic,2023Q2,refit,temporal,evaluation,high,0,0,0,0,0,,0,0,0,0,,,,,,,0.0005987847677231071,0.0010496957282979185
dynamic,2023Q2,refit,0.0005,training,all,80680,68220,66093,18361,47732,0.27780551646921764,2107,20,0,12460,0.0013448542686780092,35.00337611150481,14.001350444601924,272.4362507488699,159.8947313005391,4320.0,0.0008507340054231317,0.0014555693782364336
dynamic,2023Q2,refit,0.0005,training,ineligible,12460,0,0,0,0,,0,0,0,12460,,,,,,,0.0008507340054231317,0.0014555693782364336
dynamic,2023Q2,refit,0.0005,training,low,22740,22740,22576,6439,16137,0.2852143869596031,153,11,0,0,0.0005980741446049976,15.857164534869618,6.342865813947847,105.95744680851064,59.17971122265601,,0.0008507340054231317,0.0014555693782364336
dynamic,2023Q2,refit,0.0005,training,middle,22740,22740,22269,6344,15925,0.28488032691185056,462,9,0,0,0.0011190588555323995,29.245001867790084,11.698000747116032,206.59757250945776,109.93274725274725,,0.0008507340054231317,0.0014555693782364336
dynamic,2023Q2,refit,0.0005,training,high,22740,22740,21248,5578,15670,0.2625188253012048,1492,0,0,0,0.00231742980589663,59.90796193185472,23.963184772741894,539.492111868053,316.8299624011409,4320.0,0.0008507340054231317,0.0014555693782364336
dynamic,2023Q2,refit,0.0005,evaluation,all,5690,0,0,0,0,,0,0,0,5690,,,,,,,0.0008507340054231317,0.0014555693782364336
dynamic,2023Q2,refit,0.0005,evaluation,ineligible,5690,0,0,0,0,,0,0,0,5690,,,,,,,0.0008507340054231317,0.0014555693782364336
